,ID_NUMBER,Probability,ToInspect
1501,MIK448259614,0.9928478528,1
1502,MAR000509620,0.9891569723,1
1507,OHD077772895,0.9908444112,1
1511,PAD044528792,0.9848277338,1
1513,PA0000557637,0.9895914,1
1518,NYD986982387,0.9861483571,1
1519,NYD986906899,0.9894665145,1
1522,NY1180000290,0.9837440476,1
1524,NYD002246361,0.9878611111,1
1525,NYR000037325,0.9856467262,1
1527,NYD068055490,0.9954587302,1
1534,NYD002118271,0.9878825742,1
1535,NYD986987816,0.9910382275,1
1537,NYR000115733,0.9840423177,1
1539,NYR000098152,0.9885351613,1
1541,NYR000144501,0.9912447088,1
1542,NYD981873995,0.9994071429,1
1557,NYD981080807,0.9873535714,1
1558,WYR000206193,0.9944058624,1
1565,NYD986935302,0.9957758659,1
1567,PRR000000265,0.9850138889,1
1569,VAD119075687,0.9924479626,1
1574,WYR000206326,0.98870276,1
1575,RID987466349,0.9880977668,1
1577,VAD988223038,0.9920426045,1
1579,NJD097409908,0.9842154446,1
1583,NVR000084871,0.9843738581,1
1584,KYR000030387,0.986417966,1
1587,INR000007419,0.9845720839,1
1589,PR3690361552,0.9976392857,1
1595,PAR000028142,0.9908427829,1
1598,PAR000519355,0.9851840154,1
1608,MAR000512715,0.9902858968,1
1611,VAD988220729,0.9958303651,1
1614,NYD106808306,0.990358438,1
1616,WYR000206805,0.9844352896,1
1619,PAD071201537,0.9824025315,1
1621,NJD986623536,0.9868201955,1
1622,NYD982717175,0.9947293651,1
1624,WYR000206219,0.993345689,1
1626,VTR000008789,0.9908561922,1
1628,NJD982530495,0.9837660507,1
1629,NYD986938264,0.9914364846,1
1634,NYR000207225,0.9881227792,1
1635,NJD980780639,0.9844785078,1
1638,NYD982722167,0.9843425397,1
1643,MID981791247,0.9902999564,1
1648,NJD065789240,0.9863169841,1
1650,PAD987328291,0.9874274086,1
1655,WYR000206490,0.9920871669,1
1656,NYD980604599,0.9951454906,1
1657,NYR000145490,0.9859351659,1
1664,NYR000135566,0.983611565,1
1665,NYD002102382,0.9900381069,1
1669,NYD982741621,0.9834396825,1
1672,NYR000033191,0.9848985146,1
1675,NYD071485346,0.9873952011,1
1677,NYR000132399,0.9882111111,1
1678,NJD077554921,0.9917124542,1
1680,NYD002240851,0.9888936508,1
1686,NYR000154450,0.9903743158,1
